"","state_name","population"
"1","Alabama",4858979
"2","Alaska",738432
"3","Arizona",6828065
"4","Arkansas",2978204
"5","California",39144818
"6","Colorado",5456574
"7","Connecticut",3590886
"8","Delaware",945934
"9","District of Columbia",672228
"10","Florida",20271272
"11","Georgia",10214860
"12","Hawaii",1431603
"13","Idaho",1654930
"14","Illinois",12859995
"15","Indiana",6619680
"16","Iowa",3123899
"17","Kansas",2911641
"18","Kentucky",4425092
"19","Louisiana",4670724
"20","Maine",1329328
"21","Maryland",6006401
"22","Massachusetts",6794422
"23","Michigan",9922576
"24","Minnesota",5489594
"25","Mississippi",2992333
"26","Missouri",6083672
"27","Montana",1032949
"28","Nebraska",1896190
"29","Nevada",2890845
"30","New Hampshire",1330608
"31","New Jersey",8958013
"32","New Mexico",2085109
"33","New York",19795791
"34","North Carolina",10042802
"35","North Dakota",756927
"36","Ohio",11613423
"37","Oklahoma",3911338
"38","Oregon",4028977
"39","Pennsylvania",12802503
"40","Rhode Island",1056298
"41","South Carolina",4896146
"42","South Dakota",858469
"43","Tennessee",6600299
"44","Texas",27469114
"45","Utah",2995919
"46","Vermont",626042
"47","Virginia",8382993
"48","Washington",7170351
"49","West Virginia",1844128
"50","Wisconsin",5771337
"51","Wyoming",586107
